Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
6.59384704	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59391334	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59399404	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59409440	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59419626	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59429568	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59436200	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59445776	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59455814	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59465972	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59475914	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59482546	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59490250	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59496884	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59504954	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59514990	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59525178	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59535120	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59541752	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59551328	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59561364	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59571524	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59581466	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59588100	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59595804	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59602438	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59610508	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59620546	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59630732	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59640674	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59647308	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59656882	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59666920	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59677080	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59687022	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59693656	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59701360	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59707994	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59716066	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59726104	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59736290	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59746232	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59752866	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59762442	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59772478	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59782638	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59792580	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
6.59799212	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59806918	Operation	read	AccessPort	BD3	0x9F	OK	0x00000000	
6.59813550	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
6.59821622	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59831660	Operation	write	AccessPort	TAR	0x8B	OK	0xE000EDF0	
6.59841846	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59851788	Operation	read	AccessPort	BD0	0x87	OK	0x00000000	
6.59858422	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x01010001	
6.59867998	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
6.59878036	Operation	write	AccessPort	TAR	0x8B	OK	0x20000080	
6.59888196	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000010	APSEL=0x00, APBANKSEL=0x1, PRESCALER=0x0
6.59898138	Operation	read	AccessPort	BD2	0xB7	OK	0x01010001	
