Time	Type	R/W	AP/DP	Register	Request byte	ACK	WData	WData details
3.84011730	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84016692	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF89A4	
3.84021672	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.84053026	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.84058736	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.84063736	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF875C	
3.84068714	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.84073702	Operation	read	AccessPort	DRW	0x9F	WAIT		
3.84075140	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84080118	Operation	read	AccessPort	DRW	0x9F	OK	0x7FFFFFFF	
3.84085088	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84090050	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF89A4	
3.84095030	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.84118816	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.84124524	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.84129526	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF875C	
3.84134500	Operation	write	AccessPort	CSW	0xA3	OK	0x23000012	DbgSwEnable=0, Prot=0x23, SPIDEN=0, Mode=0x0, TrInProg=0, DeviceEn=0, AddrInc=Increment single, Size=Word (32 bits)
3.84139490	Operation	read	AccessPort	DRW	0x9F	WAIT		
3.84140926	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84145904	Operation	read	AccessPort	DRW	0x9F	OK	0x7FFFFFFF	
3.84150874	Operation	read	AccessPort	DRW	0x9F	OK	0x00000000	
3.84155842	Operation	read	AccessPort	DRW	0x9F	OK	0x1FFF89A4	
3.84160822	Operation	read	DebugPort	RDBUFF	0xBD	OK	0x00000000	
3.84188528	Operation	write	DebugPort	ABORT	0x81	OK	0x0000001E	ORUNERRCLR=1, WDERRCLR=1, STKERRCLR=1, STKCMPCLR=1, DAPABORT=0
3.84194236	Operation	write	DebugPort	SELECT	0xB1	OK	0x00000000	APSEL=0x00, APBANKSEL=0x0, PRESCALER=0x0
3.84199708	Operation	write	AccessPort	TAR	0x8B	OK	0x1FFF875C	
